iter	Passed	Remaining
851	41122	7143
852	41157	7092
853	41200	7043
854	41249	6995
855	41274	6943
856	41317	6894
857	41355	6844
858	41416	6798
859	41486	6753
860	41509	6701
861	41547	6651
862	41579	6600
863	41603	6548
864	41649	6500
865	41689	6450
866	41735	6402
867	41793	6355
868	41841	6307
869	41878	6257
870	41918	6208
871	41961	6159
872	41991	6108
873	42022	6058
874	42077	6011
875	42112	5961
876	42167	5914
877	42199	5863
878	42247	5815
879	42285	5766
880	42333	5718
881	42358	5667
882	42386	5616
883	42416	5566
884	42477	5519
885	42526	5471
886	42570	5423
887	42620	5375
888	42679	5328
889	42728	5281
890	42755	5230
891	42792	5181
892	42819	5130
893	42873	5083
894	42894	5032
895	42931	4983
896	42978	4935
897	43036	4888
898	43084	4840
899	43111	4790
900	43141	4740
901	43171	4690
902	43250	4645
903	43276	4595
904	43309	4546
905	43337	4496
906	43378	4447
907	43428	4400
908	43455	4350
909	43493	4301
910	43539	4253
911	43588	4205
912	43633	4157
913	43676	4109
914	43712	4060
915	43754	4012
916	43788	3963
917	43851	3916
918	43890	3868
919	43933	3820
920	43978	3772
921	44030	3724
922	44049	3674
923	44090	3626
924	44110	3576
925	44130	3526
926	44176	3478
927	44223	3431
928	44269	3383
929	44288	3333
930	44338	3286
931	44375	3237
932	44443	3191
933	44489	3143
934	44511	3094
935	44540	3045
936	44560	2996
937	44587	2947
938	44625	2898
939	44672	2851
940	44717	2803
941	44760	2755
942	44819	2709
943	44842	2660
944	44877	2611
945	44909	2563
946	44931	2514
947	44973	2466
948	45056	2421
949	45109	2374
950	45129	2325
951	45159	2276
952	45226	2230
953	45252	2181
954	45289	2134
955	45340	2086
956	45362	2038
957	45404	1990
958	45472	1944
959	45521	1896
960	45559	1848
961	45605	1801
962	45648	1753
963	45704	1706
964	45725	1658
965	45760	1610
966	45806	1563
967	45858	1515
968	45905	1468
969	45933	1420
970	45968	1372
971	46024	1325
972	46094	1279
973	46152	1232
974	46217	1185
975	46262	1137
976	46306	1090
977	46378	1043
978	46424	995
979	46470	948
980	46525	901
981	46552	853
982	46593	805
983	46639	758
984	46668	710
985	46719	663
986	46770	616
987	46802	568
988	46849	521
989	46877	473
990	46930	426
991	46980	378
992	47026	331
993	47084	284
994	47145	236
995	47194	189
996	47244	142
997	47299	94
998	47329	47
999	47370	0
